quarter,industry1,occupation1,resignation_rate
1998-Q1,total,total,2.5
1998-Q1,total,"professional, managers, executive and technicians",1.7
1998-Q1,total,"clerical, sales and services workers",3.7
1998-Q1,total,"production and transport operators, cleaners and labourers",2.3
1998-Q1,manufacturing,total,2.4
1998-Q1,manufacturing,"professional, managers, executive and technicians",1.6
1998-Q1,manufacturing,"clerical, sales and services workers",3.4
1998-Q1,manufacturing,"production and transport operators, cleaners and labourers",2.4
1998-Q1,construction,total,2.1
1998-Q1,construction,"professional, managers, executive and technicians",1.9
1998-Q1,construction,"clerical, sales and services workers",3.2
1998-Q1,construction,"production and transport operators, cleaners and labourers",2
1998-Q1,services,total,2.7
1998-Q1,services,"professional, managers, executive and technicians",1.7
1998-Q1,services,"clerical, sales and services workers",3.8
1998-Q1,services,"production and transport operators, cleaners and labourers",2.3
1998-Q1,others,total,1.9
1998-Q1,others,"professional, managers, executive and technicians",1.5
1998-Q1,others,"clerical, sales and services workers",1.7
1998-Q1,others,"production and transport operators, cleaners and labourers",2
1998-Q2,total,total,2.2
1998-Q2,total,"professional, managers, executive and technicians",1.6
1998-Q2,total,"clerical, sales and services workers",3
1998-Q2,total,"production and transport operators, cleaners and labourers",2.2
1998-Q2,manufacturing,total,2.1
1998-Q2,manufacturing,"professional, managers, executive and technicians",1.5
1998-Q2,manufacturing,"clerical, sales and services workers",2.8
1998-Q2,manufacturing,"production and transport operators, cleaners and labourers",2.1
1998-Q2,construction,total,2.2
1998-Q2,construction,"professional, managers, executive and technicians",2.1
1998-Q2,construction,"clerical, sales and services workers",3.2
1998-Q2,construction,"production and transport operators, cleaners and labourers",2.1
1998-Q2,services,total,2.4
1998-Q2,services,"professional, managers, executive and technicians",1.7
1998-Q2,services,"clerical, sales and services workers",3
1998-Q2,services,"production and transport operators, cleaners and labourers",2.4
1998-Q2,others,total,2
1998-Q2,others,"professional, managers, executive and technicians",1.3
1998-Q2,others,"clerical, sales and services workers",2.7
1998-Q2,others,"production and transport operators, cleaners and labourers",2
1998-Q3,total,total,1.9
1998-Q3,total,"professional, managers, executive and technicians",1.3
1998-Q3,total,"clerical, sales and services workers",2.5
1998-Q3,total,"production and transport operators, cleaners and labourers",1.8
1998-Q3,manufacturing,total,1.6
1998-Q3,manufacturing,"professional, managers, executive and technicians",1.2
1998-Q3,manufacturing,"clerical, sales and services workers",2.1
1998-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.6
1998-Q3,construction,total,1.9
1998-Q3,construction,"professional, managers, executive and technicians",1.8
1998-Q3,construction,"clerical, sales and services workers",2.3
1998-Q3,construction,"production and transport operators, cleaners and labourers",1.8
1998-Q3,services,total,2.1
1998-Q3,services,"professional, managers, executive and technicians",1.3
1998-Q3,services,"clerical, sales and services workers",2.6
1998-Q3,services,"production and transport operators, cleaners and labourers",2.3
1998-Q3,others,total,2.1
1998-Q3,others,"professional, managers, executive and technicians",1.7
1998-Q3,others,"clerical, sales and services workers",2.1
1998-Q3,others,"production and transport operators, cleaners and labourers",2.1
1998-Q4,total,total,1.7
