year,industry1,industry2,occupation1,resignation_rate
1998,total,total,total,2.1
1998,total,total,"professional, managers, executive and technicians",1.4
1998,total,total,"clerical, sales and services workers",2.9
1998,total,total,"production and transport operators, cleaners and labourers",2
1998,manufacturing,"food, beverages and tobacco",total,3.1
1998,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.4
1998,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",5.1
1998,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2.2
1998,manufacturing,textile and wearing apparel,total,2.4
1998,manufacturing,textile and wearing apparel,"professional, managers, executive and technicians",1.9
1998,manufacturing,textile and wearing apparel,"clerical, sales and services workers",4
1998,manufacturing,textile and wearing apparel,"production and transport operators, cleaners and labourers",2
1998,manufacturing,paper products and publishing,total,1.8
1998,manufacturing,paper products and publishing,"professional, managers, executive and technicians",1.4
1998,manufacturing,paper products and publishing,"clerical, sales and services workers",2.1
1998,manufacturing,paper products and publishing,"production and transport operators, cleaners and labourers",1.9
1998,manufacturing,petroleum and chemical products,total,1.1
1998,manufacturing,petroleum and chemical products,"professional, managers, executive and technicians",0.9
1998,manufacturing,petroleum and chemical products,"clerical, sales and services workers",1
1998,manufacturing,petroleum and chemical products,"production and transport operators, cleaners and labourers",1.2
1998,manufacturing,rubber and plastic products,total,2.4
1998,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",1.7
1998,manufacturing,rubber and plastic products,"clerical, sales and services workers",2.2
1998,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",2.6
1998,manufacturing,fabricated metal products,total,2.2
1998,manufacturing,fabricated metal products,"professional, managers, executive and technicians",1.5
1998,manufacturing,fabricated metal products,"clerical, sales and services workers",2.3
1998,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",2.3
1998,manufacturing,machinery and equipment,total,1.7
1998,manufacturing,machinery and equipment,"professional, managers, executive and technicians",1.4
1998,manufacturing,machinery and equipment,"clerical, sales and services workers",1.9
1998,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",1.8
1998,manufacturing,electrical products,total,1.6
1998,manufacturing,electrical products,"professional, managers, executive and technicians",1.2
1998,manufacturing,electrical products,"clerical, sales and services workers",1.5
1998,manufacturing,electrical products,"production and transport operators, cleaners and labourers",1.7
1998,manufacturing,electronic products,total,1.7
1998,manufacturing,electronic products,"professional, managers, executive and technicians",1.3
1998,manufacturing,electronic products,"clerical, sales and services workers",1.8
