quarter,industry1,industry2,industry3,occupation1,resignation_rate
1998-Q1,total,total,total,total,2.5
1998-Q1,total,total,total,"professional, managers, executive and technicians",1.7
1998-Q1,total,total,total,"clerical, sales and services workers",3.7
1998-Q1,total,total,total,"production and transport operators, cleaners and labourers",2.3
1998-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,3.9
1998-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",1.7
1998-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",6.4
1998-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",2.5
1998-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,total,3.7
1998-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,"professional, managers, executive and technicians",4.3
1998-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,"clerical, sales and services workers",7.6
1998-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,"production and transport operators, cleaners and labourers",2.5
1998-Q1,manufacturing,paper products and publishing,paper products and publishing,total,2.7
1998-Q1,manufacturing,paper products and publishing,paper products and publishing,"professional, managers, executive and technicians",1.6
1998-Q1,manufacturing,paper products and publishing,paper products and publishing,"clerical, sales and services workers",3
1998-Q1,manufacturing,paper products and publishing,paper products and publishing,"production and transport operators, cleaners and labourers",2.8
1998-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,total,1.4
1998-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,"professional, managers, executive and technicians",1
1998-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,"clerical, sales and services workers",1.3
1998-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,"production and transport operators, cleaners and labourers",1.6
1998-Q1,manufacturing,rubber and plastic products,rubber and plastic products,total,3.1
1998-Q1,manufacturing,rubber and plastic products,rubber and plastic products,"professional, managers, executive and technicians",2
1998-Q1,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",3.2
1998-Q1,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",3.3
1998-Q1,manufacturing,fabricated metal products,fabricated metal products,total,2.3
1998-Q1,manufacturing,fabricated metal products,fabricated metal products,"professional, managers, executive and technicians",1.2
1998-Q1,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",2.9
1998-Q1,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",2.5
1998-Q1,manufacturing,machinery and equipment,machinery and equipment,total,2
1998-Q1,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",1.7
1998-Q1,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",2.3
1998-Q1,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",2.1
1998-Q1,manufacturing,electrical products,electrical products,total,2.5
1998-Q1,manufacturing,electrical products,electrical products,"professional, managers, executive and technicians",1.8
1998-Q1,manufacturing,electrical products,electrical products,"clerical, sales and services workers",1.9
1998-Q1,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",2.8
1998-Q1,manufacturing,electronic products,electronic products,total,2.4
1998-Q1,manufacturing,electronic products,electronic products,"professional, managers, executive and technicians",1.6
1998-Q1,manufacturing,electronic products,electronic products,"clerical, sales and services workers",3
1998-Q1,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",2.6
1998-Q1,manufacturing,medical and precision instruments,medical and precision instruments,total,2.1
1998-Q1,manufacturing,medical and precision instruments,medical and precision instruments,"professional, managers, executive and technicians",1.9
1998-Q1,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",2.8
1998-Q1,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",2.1
1998-Q1,manufacturing,transport equipment,transport equipment,total,1.9
1998-Q1,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",1.3
1998-Q1,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",1.6
1998-Q1,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",2.1
1998-Q1,manufacturing,other manufacturing industries,other manufacturing industries,total,1.9
1998-Q1,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",1.9
1998-Q1,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",2.2
1998-Q1,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",1.9
1998-Q1,construction,construction,construction,total,2.1
1998-Q1,construction,construction,construction,"professional, managers, executive and technicians",1.9
1998-Q1,construction,construction,construction,"clerical, sales and services workers",3.2
1998-Q1,construction,construction,construction,"production and transport operators, cleaners and labourers",2
