quarter,industry1,occupation1,job_vacancy
1998-Q1,total,total,26100
1998-Q1,total,"professional, managers, executive and technicians",6500
1998-Q1,total,"clerical, sales and services workers",8100
1998-Q1,total,"production and transport operators, cleaners and labourers",11500
1998-Q1,manufacturing,total,8200
1998-Q1,manufacturing,"professional, managers, executive and technicians",1900
1998-Q1,manufacturing,"clerical, sales and services workers",800
1998-Q1,manufacturing,"production and transport operators, cleaners and labourers",5500
1998-Q1,construction,total,3700
1998-Q1,construction,"professional, managers, executive and technicians",300
1998-Q1,construction,"clerical, sales and services workers",200
1998-Q1,construction,"production and transport operators, cleaners and labourers",3200
1998-Q1,services,total,14200
1998-Q1,services,"professional, managers, executive and technicians",4300
1998-Q1,services,"clerical, sales and services workers",7100
1998-Q1,services,"production and transport operators, cleaners and labourers",2700
1998-Q1,others,total,100
1998-Q1,others,"professional, managers, executive and technicians",-
1998-Q1,others,"clerical, sales and services workers",-
1998-Q1,others,"production and transport operators, cleaners and labourers",-
1998-Q2,total,total,19100
1998-Q2,total,"professional, managers, executive and technicians",5100
1998-Q2,total,"clerical, sales and services workers",7000
1998-Q2,total,"production and transport operators, cleaners and labourers",7000
1998-Q2,manufacturing,total,4600
1998-Q2,manufacturing,"professional, managers, executive and technicians",1300
1998-Q2,manufacturing,"clerical, sales and services workers",400
1998-Q2,manufacturing,"production and transport operators, cleaners and labourers",2900
1998-Q2,construction,total,3100
1998-Q2,construction,"professional, managers, executive and technicians",300
1998-Q2,construction,"clerical, sales and services workers",100
1998-Q2,construction,"production and transport operators, cleaners and labourers",2700
1998-Q2,services,total,11400
1998-Q2,services,"professional, managers, executive and technicians",3600
1998-Q2,services,"clerical, sales and services workers",6400
1998-Q2,services,"production and transport operators, cleaners and labourers",1400
1998-Q2,others,total,-
1998-Q2,others,"professional, managers, executive and technicians",-
1998-Q2,others,"clerical, sales and services workers",-
1998-Q2,others,"production and transport operators, cleaners and labourers",-
1998-Q3,total,total,15500
1998-Q3,total,"professional, managers, executive and technicians",4200
1998-Q3,total,"clerical, sales and services workers",4900
1998-Q3,total,"production and transport operators, cleaners and labourers",6400
1998-Q3,manufacturing,total,4000
1998-Q3,manufacturing,"professional, managers, executive and technicians",1100
1998-Q3,manufacturing,"clerical, sales and services workers",300
1998-Q3,manufacturing,"production and transport operators, cleaners and labourers",2700
1998-Q3,construction,total,2600
1998-Q3,construction,"professional, managers, executive and technicians",200
1998-Q3,construction,"clerical, sales and services workers",100
1998-Q3,construction,"production and transport operators, cleaners and labourers",2300
1998-Q3,services,total,8700
1998-Q3,services,"professional, managers, executive and technicians",2900
1998-Q3,services,"clerical, sales and services workers",4500
1998-Q3,services,"production and transport operators, cleaners and labourers",1400
1998-Q3,others,total,-
1998-Q3,others,"professional, managers, executive and technicians",-
1998-Q3,others,"clerical, sales and services workers",-
1998-Q3,others,"production and transport operators, cleaners and labourers",-
1998-Q4,total,total,12600
1998-Q4,total,"professional, managers, executive and technicians",3900
1998-Q4,total,"clerical, sales and services workers",4100
1998-Q4,total,"production and transport operators, cleaners and labourers",4600
1998-Q4,manufacturing,total,3900
1998-Q4,manufacturing,"professional, managers, executive and technicians",1100
1998-Q4,manufacturing,"clerical, sales and services workers",300
1998-Q4,manufacturing,"production and transport operators, cleaners and labourers",2600
1998-Q4,construction,total,1200
1998-Q4,construction,"professional, managers, executive and technicians",200
1998-Q4,construction,"clerical, sales and services workers",100
1998-Q4,construction,"production and transport operators, cleaners and labourers",1000
1998-Q4,services,total,7400
1998-Q4,services,"professional, managers, executive and technicians",2600
1998-Q4,services,"clerical, sales and services workers",3800
1998-Q4,services,"production and transport operators, cleaners and labourers",1000
1998-Q4,others,total,100
1998-Q4,others,"professional, managers, executive and technicians",-
1998-Q4,others,"clerical, sales and services workers",-
1998-Q4,others,"production and transport operators, cleaners and labourers",100
1999-Q1,total,total,16800
1999-Q1,total,"professional, managers, executive and technicians",4600
1999-Q1,total,"clerical, sales and services workers",5700
1999-Q1,total,"production and transport operators, cleaners and labourers",6500
1999-Q1,manufacturing,total,4300
1999-Q1,manufacturing,"professional, managers, executive and technicians",1100
1999-Q1,manufacturing,"clerical, sales and services workers",400
1999-Q1,manufacturing,"production and transport operators, cleaners and labourers",2900
1999-Q1,construction,total,2600
1999-Q1,construction,"professional, managers, executive and technicians",200
1999-Q1,construction,"clerical, sales and services workers",100
1999-Q1,construction,"production and transport operators, cleaners and labourers",2300
1999-Q1,services,total,9800
1999-Q1,services,"professional, managers, executive and technicians",3300
1999-Q1,services,"clerical, sales and services workers",5200
1999-Q1,services,"production and transport operators, cleaners and labourers",1300
1999-Q1,others,total,-
1999-Q1,others,"professional, managers, executive and technicians",-
1999-Q1,others,"clerical, sales and services workers",-
1999-Q1,others,"production and transport operators, cleaners and labourers",-
1999-Q2,total,total,19300
1999-Q2,total,"professional, managers, executive and technicians",6600
1999-Q2,total,"clerical, sales and services workers",6100
1999-Q2,total,"production and transport operators, cleaners and labourers",6600
1999-Q2,manufacturing,total,5900
