quarter,industry1,industry2,occupation1,job_vacancy
1998-Q1,total,total,total,26100
1998-Q1,total,total,"professional, managers, executive and technicians",6500
1998-Q1,total,total,"clerical, sales and services workers",8100
1998-Q1,total,total,"production and transport operators, cleaners and labourers",11500
1998-Q1,manufacturing,"food, beverages and tobacco",total,300
1998-Q1,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",-
1998-Q1,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",100
1998-Q1,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",100
1998-Q1,manufacturing,textile and wearing apparel,total,600
1998-Q1,manufacturing,textile and wearing apparel,"professional, managers, executive and technicians",-
1998-Q1,manufacturing,textile and wearing apparel,"clerical, sales and services workers",-
1998-Q1,manufacturing,textile and wearing apparel,"production and transport operators, cleaners and labourers",500
1998-Q1,manufacturing,paper products and publishing,total,300
1998-Q1,manufacturing,paper products and publishing,"professional, managers, executive and technicians",100
1998-Q1,manufacturing,paper products and publishing,"clerical, sales and services workers",100
1998-Q1,manufacturing,paper products and publishing,"production and transport operators, cleaners and labourers",200
1998-Q1,manufacturing,petroleum and chemical products,total,300
1998-Q1,manufacturing,petroleum and chemical products,"professional, managers, executive and technicians",100
1998-Q1,manufacturing,petroleum and chemical products,"clerical, sales and services workers",-
1998-Q1,manufacturing,petroleum and chemical products,"production and transport operators, cleaners and labourers",200
1998-Q1,manufacturing,rubber and plastic products,total,300
1998-Q1,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",-
1998-Q1,manufacturing,rubber and plastic products,"clerical, sales and services workers",-
1998-Q1,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",200
1998-Q1,manufacturing,fabricated metal products,total,500
1998-Q1,manufacturing,fabricated metal products,"professional, managers, executive and technicians",100
1998-Q1,manufacturing,fabricated metal products,"clerical, sales and services workers",100
1998-Q1,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",400
1998-Q1,manufacturing,machinery and equipment,total,1200
1998-Q1,manufacturing,machinery and equipment,"professional, managers, executive and technicians",200
1998-Q1,manufacturing,machinery and equipment,"clerical, sales and services workers",100
1998-Q1,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",1000
1998-Q1,manufacturing,electrical products,total,200
1998-Q1,manufacturing,electrical products,"professional, managers, executive and technicians",100
1998-Q1,manufacturing,electrical products,"clerical, sales and services workers",-
1998-Q1,manufacturing,electrical products,"production and transport operators, cleaners and labourers",100
1998-Q1,manufacturing,electronic products,total,3100
1998-Q1,manufacturing,electronic products,"professional, managers, executive and technicians",1000
1998-Q1,manufacturing,electronic products,"clerical, sales and services workers",200
1998-Q1,manufacturing,electronic products,"production and transport operators, cleaners and labourers",1900
1998-Q1,manufacturing,medical and precision instruments,total,100
1998-Q1,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",100
1998-Q1,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
1998-Q1,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",-
1998-Q1,manufacturing,transport equipment,total,1100
1998-Q1,manufacturing,transport equipment,"professional, managers, executive and technicians",200
1998-Q1,manufacturing,transport equipment,"clerical, sales and services workers",200
1998-Q1,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",700
1998-Q1,manufacturing,other manufacturing industries,total,300
1998-Q1,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",-
1998-Q1,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
1998-Q1,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",200
1998-Q1,construction,construction,total,3700
1998-Q1,construction,construction,"professional, managers, executive and technicians",300
1998-Q1,construction,construction,"clerical, sales and services workers",200
1998-Q1,construction,construction,"production and transport operators, cleaners and labourers",3200
1998-Q1,services,wholesale and retail trade,total,2700
1998-Q1,services,wholesale and retail trade,"professional, managers, executive and technicians",600
1998-Q1,services,wholesale and retail trade,"clerical, sales and services workers",1200
1998-Q1,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",800
1998-Q1,services,hotels and restaurants,total,3100
1998-Q1,services,hotels and restaurants,"professional, managers, executive and technicians",300
1998-Q1,services,hotels and restaurants,"clerical, sales and services workers",2400
1998-Q1,services,hotels and restaurants,"production and transport operators, cleaners and labourers",400
1998-Q1,services,"transport, storage and communications",total,2300
1998-Q1,services,"transport, storage and communications","professional, managers, executive and technicians",600
1998-Q1,services,"transport, storage and communications","clerical, sales and services workers",1100
1998-Q1,services,"transport, storage and communications","production and transport operators, cleaners and labourers",600
1998-Q1,services,financial intermediation,total,1500
1998-Q1,services,financial intermediation,"professional, managers, executive and technicians",700
1998-Q1,services,financial intermediation,"clerical, sales and services workers",700
1998-Q1,services,financial intermediation,"production and transport operators, cleaners and labourers",100
1998-Q1,services,business and real estate services,total,2000
1998-Q1,services,business and real estate services,"professional, managers, executive and technicians",900
1998-Q1,services,business and real estate services,"clerical, sales and services workers",700
1998-Q1,services,business and real estate services,"production and transport operators, cleaners and labourers",300
1998-Q1,services,"community, social and personal services",total,2500
1998-Q1,services,"community, social and personal services","professional, managers, executive and technicians",1200
1998-Q1,services,"community, social and personal services","clerical, sales and services workers",900
1998-Q1,services,"community, social and personal services","production and transport operators, cleaners and labourers",400
1998-Q1,others,others,total,100
1998-Q1,others,others,"professional, managers, executive and technicians",-
1998-Q1,others,others,"clerical, sales and services workers",-
1998-Q1,others,others,"production and transport operators, cleaners and labourers",-
1998-Q2,total,total,total,19100
1998-Q2,total,total,"professional, managers, executive and technicians",5100
1998-Q2,total,total,"clerical, sales and services workers",7000
1998-Q2,total,total,"production and transport operators, cleaners and labourers",7000
1998-Q2,manufacturing,"food, beverages and tobacco",total,300
1998-Q2,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",-
1998-Q2,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",100
1998-Q2,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",100
1998-Q2,manufacturing,textile and wearing apparel,total,300
1998-Q2,manufacturing,textile and wearing apparel,"professional, managers, executive and technicians",-
1998-Q2,manufacturing,textile and wearing apparel,"clerical, sales and services workers",-
1998-Q2,manufacturing,textile and wearing apparel,"production and transport operators, cleaners and labourers",300
1998-Q2,manufacturing,paper products and publishing,total,200
1998-Q2,manufacturing,paper products and publishing,"professional, managers, executive and technicians",-
1998-Q2,manufacturing,paper products and publishing,"clerical, sales and services workers",-
1998-Q2,manufacturing,paper products and publishing,"production and transport operators, cleaners and labourers",100
1998-Q2,manufacturing,petroleum and chemical products,total,200
1998-Q2,manufacturing,petroleum and chemical products,"professional, managers, executive and technicians",100
1998-Q2,manufacturing,petroleum and chemical products,"clerical, sales and services workers",-
1998-Q2,manufacturing,petroleum and chemical products,"production and transport operators, cleaners and labourers",100
1998-Q2,manufacturing,rubber and plastic products,total,200
1998-Q2,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",-
1998-Q2,manufacturing,rubber and plastic products,"clerical, sales and services workers",-
1998-Q2,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",200
1998-Q2,manufacturing,fabricated metal products,total,400
1998-Q2,manufacturing,fabricated metal products,"professional, managers, executive and technicians",-
1998-Q2,manufacturing,fabricated metal products,"clerical, sales and services workers",-
1998-Q2,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",300
1998-Q2,manufacturing,machinery and equipment,total,700
1998-Q2,manufacturing,machinery and equipment,"professional, managers, executive and technicians",100
1998-Q2,manufacturing,machinery and equipment,"clerical, sales and services workers",-
1998-Q2,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",500
1998-Q2,manufacturing,electrical products,total,100
1998-Q2,manufacturing,electrical products,"professional, managers, executive and technicians",-
1998-Q2,manufacturing,electrical products,"clerical, sales and services workers",-
1998-Q2,manufacturing,electrical products,"production and transport operators, cleaners and labourers",-
1998-Q2,manufacturing,electronic products,total,900
1998-Q2,manufacturing,electronic products,"professional, managers, executive and technicians",500
1998-Q2,manufacturing,electronic products,"clerical, sales and services workers",100
1998-Q2,manufacturing,electronic products,"production and transport operators, cleaners and labourers",300
1998-Q2,manufacturing,medical and precision instruments,total,200
1998-Q2,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",100
1998-Q2,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
1998-Q2,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",100
1998-Q2,manufacturing,transport equipment,total,1100
1998-Q2,manufacturing,transport equipment,"professional, managers, executive and technicians",200
1998-Q2,manufacturing,transport equipment,"clerical, sales and services workers",100
1998-Q2,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",800
1998-Q2,manufacturing,other manufacturing industries,total,100
1998-Q2,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",-
1998-Q2,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
1998-Q2,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",100
1998-Q2,construction,construction,total,3100
1998-Q2,construction,construction,"professional, managers, executive and technicians",300
1998-Q2,construction,construction,"clerical, sales and services workers",100
1998-Q2,construction,construction,"production and transport operators, cleaners and labourers",2700
1998-Q2,services,wholesale and retail trade,total,1700
1998-Q2,services,wholesale and retail trade,"professional, managers, executive and technicians",500
1998-Q2,services,wholesale and retail trade,"clerical, sales and services workers",1000
1998-Q2,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",200
1998-Q2,services,hotels and restaurants,total,2700
1998-Q2,services,hotels and restaurants,"professional, managers, executive and technicians",200
1998-Q2,services,hotels and restaurants,"clerical, sales and services workers",2400
1998-Q2,services,hotels and restaurants,"production and transport operators, cleaners and labourers",100
1998-Q2,services,"transport, storage and communications",total,2000
1998-Q2,services,"transport, storage and communications","professional, managers, executive and technicians",600
1998-Q2,services,"transport, storage and communications","clerical, sales and services workers",900
1998-Q2,services,"transport, storage and communications","production and transport operators, cleaners and labourers",500
1998-Q2,services,financial intermediation,total,1400
1998-Q2,services,financial intermediation,"professional, managers, executive and technicians",600
1998-Q2,services,financial intermediation,"clerical, sales and services workers",700
1998-Q2,services,financial intermediation,"production and transport operators, cleaners and labourers",100
1998-Q2,services,business and real estate services,total,1400
1998-Q2,services,business and real estate services,"professional, managers, executive and technicians",700
1998-Q2,services,business and real estate services,"clerical, sales and services workers",500
1998-Q2,services,business and real estate services,"production and transport operators, cleaners and labourers",200
1998-Q2,services,"community, social and personal services",total,2100
1998-Q2,services,"community, social and personal services","professional, managers, executive and technicians",1100
1998-Q2,services,"community, social and personal services","clerical, sales and services workers",900
1998-Q2,services,"community, social and personal services","production and transport operators, cleaners and labourers",200
1998-Q2,others,others,total,-
1998-Q2,others,others,"professional, managers, executive and technicians",-
1998-Q2,others,others,"clerical, sales and services workers",-
1998-Q2,others,others,"production and transport operators, cleaners and labourers",-
1998-Q3,total,total,total,15500
1998-Q3,total,total,"professional, managers, executive and technicians",4200
1998-Q3,total,total,"clerical, sales and services workers",4900
1998-Q3,total,total,"production and transport operators, cleaners and labourers",6400
1998-Q3,manufacturing,"food, beverages and tobacco",total,100
1998-Q3,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",-
1998-Q3,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",-
1998-Q3,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",100
1998-Q3,manufacturing,textile and wearing apparel,total,400
1998-Q3,manufacturing,textile and wearing apparel,"professional, managers, executive and technicians",-
1998-Q3,manufacturing,textile and wearing apparel,"clerical, sales and services workers",-
1998-Q3,manufacturing,textile and wearing apparel,"production and transport operators, cleaners and labourers",400
1998-Q3,manufacturing,paper products and publishing,total,200
1998-Q3,manufacturing,paper products and publishing,"professional, managers, executive and technicians",100
1998-Q3,manufacturing,paper products and publishing,"clerical, sales and services workers",-
1998-Q3,manufacturing,paper products and publishing,"production and transport operators, cleaners and labourers",100
1998-Q3,manufacturing,petroleum and chemical products,total,200
1998-Q3,manufacturing,petroleum and chemical products,"professional, managers, executive and technicians",100
1998-Q3,manufacturing,petroleum and chemical products,"clerical, sales and services workers",-
1998-Q3,manufacturing,petroleum and chemical products,"production and transport operators, cleaners and labourers",100
1998-Q3,manufacturing,rubber and plastic products,total,200
1998-Q3,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",-
1998-Q3,manufacturing,rubber and plastic products,"clerical, sales and services workers",-
