Title,Link,Salary,Description,Posted Date,Job Type
regional sales manager – specialty chemicals,https://www.randstad.com.sg/jobs/regional-sales-manager-specialty-chemicals_singapore_44938458/,"S$7,000 - S$10,000 per month, AWS","Company Overview:Our client is a global leader in specialty chemicals manufacturing, specializing in high-performance phosphates and advanced material additives. With a strong international presence, the company serves key industries such as food, pharmaceuticals, personal care, coatings, water treatment, and flame retardants, delivering innovative and sustainable chemical solutions.About the Role:A leading international specialty chemicals company is seek",posted 7 march 2025,permanent
metrology process development engineer (semicon manufacturing),https://www.randstad.com.sg/jobs/metrology-process-development-engineer-semicon-manufacturing_singapore_44938006/,"S$5,500 - S$7,500 per month, AWS + Bonus + Employee Stocks","Company Overview:Our client is a leading semiconductor company that specializes in next-generation memory and storage solutions, supporting applications in artificial intelligence, cloud computing, and high-performance electronics. With a strong investment in advanced semiconductor manufacturing, they are growing their technical team to drive innovation in metrology and process development. Job Overview:We are looking for a Metrology Process Development En",posted 7 march 2025,permanent
"associate, banking & finance (international law firm)",https://www.randstad.com.sg/jobs/associate-banking-finance-international-law-firm_singapore_44936358/,,"About Our ClientOur client is an international law firm with a strong presence in Asia and a reputable banking & finance practice. There is now an opportunity for an Associate to be part of the team, working with leading banking & finance lawyers in the field. ResponsibilitiesSupporting a team of banking & finance partners, you will be responsible for structuring, drafting, negotiating, and closing complex multi-jurisdictional financing deals. You will adv",posted 7 march 2025,permanent
junior broker - international property,https://www.randstad.com.sg/jobs/junior-broker-international-property_singapore_44935862/,"S$5,000 - S$7,000 per month, Bonus + Benefits","about the company Our client, one of the fastest growing reinsurance brokers. about the job In this position as a Junior Broker, you will be required to support and work closely with the HOD of international property to manage and growth of property portfolios, including production and placement activities into the Singapore and international markets.You will be expected to identify and act upon new business opportunities which promote the profitable devel",posted 7 march 2025,permanent
"technical accountant, treaty (reinsurance)",https://www.randstad.com.sg/jobs/technical-accountant-treaty-reinsurance_singapore_44935806/,"S$5,000 - S$7,000 per month, Bonus + Benefits","about the companyOur client, one of reputable reinsurance companies, with a strong presence globally.about the jobIn this position as a Technical Accountant, you will be working alongside with a strong team and report into the Manager. You will be required to support the administration of reinsurance accounts and contracts, from establishing and maintaining contractual data, processing the insurance and/or reinsurance account bookings, claims handling and",posted 7 march 2025,permanent
"major claims assessor, life insurance (am/m)",https://www.randstad.com.sg/jobs/major-claims-assessor-life-insurance-amm_singapore_44935775/,"S$6,500 - S$8,000 per month, Bonus + Benefits + Flexi benefits","about the companyOur client, one of the largest life insurance company globally.about the jobIn this position as a Claims Specialist in the Major Claims team, you will be reporting to the HOD and work alongside with a team of Claims Specialists handling major/complex cases such as Death, Disability and Critical Illness. You will be required to assess/process and approve claims for death, critical illness, disability, terminal illness & other complex claims",posted 7 march 2025,permanent
underwriter - marine cargo,https://www.randstad.com.sg/jobs/underwriter-marine-cargo_singapore_44935686/,"S$5,500 - S$7,000 per month, Bonus + Benefits","About the companyOur client, one of the leading general insurance companies.About the jobAs an Marine Underwriter in this position, you will be reporting into the Marine Manager and work closely to achieve the set target and maintaining the existing business. The ideal candidate will be responsible for managing the Marine Cargo, Liabilities and Specie business.In order to be successful in this position, the incumbent must come with strong business acumen a",posted 7 march 2025,permanent
"business development lead, commercial lines",https://www.randstad.com.sg/jobs/business-development-lead-commercial-lines_singapore_44935657/,"S$9,000 - S$14,000 per month, Bonus + Benefits","About the company Our client, one of largest general insurance company globally. About the job As a Business Development Lead for the Commercial Lines department, you will be responsible for the profitable growth and development of business through brokers. The ideal candidate would be expected to maintain and develop customer relations, identifying and developing new products, services/new market segments. You will ensure risks are accepted and underwritt",posted 7 march 2025,permanent
"business development manager, marine insurance",https://www.randstad.com.sg/jobs/business-development-manager-marine-insurance_singapore_44935646/,"S$5,000 - S$5,800 per month, Bonus + Benefits","about the companyOur client, one of the largest insurance players in the Asia pacific market, offers a wide range of services.about the jobIn this position as a Business Development Manager, you will be in-charge for Marine Hull portfolio and involved in helping to achieve and grow the overall target set by the organisation. The ideal incumbent will be expected to identify and develop potential business areas and maintain professional relationships with ex",posted 7 march 2025,permanent
senior hr executive (west / mnc),https://www.randstad.com.sg/jobs/senior-hr-executive-west-mnc_singapore_44935630/,"S$5,000 - S$6,200 per month","about the companyOur client is renowned MNC that supplies high-technology systems and solutions to customers engaged in the oil and gas industry.  about the jobThe ideal candidate will be responsible for managing a wide range of HR functions, including recruitment, employee relations, performance management, benefits administration, and compliance. This role requires strong interpersonal and communication skills, the ability to handle sensitive information",posted 7 march 2025,permanent
senior recruitment consultant (scientific),https://www.randstad.com.sg/jobs/senior-recruitment-consultant-scientific_singapore_44935622/,"S$50,000 - S$80,000 per year","about the companyRandstad is a global talent leader with the vision to be the world’s most equitable and specialised talent company. As a partner for talent and through our four specialisations - Operational, Professional, Digital and Enterprise - we provide clients with the high-quality, diverse and agile workforces that they need to succeed in a talent scarce world. We help people secure meaningful roles, develop relevant skills and find purpose and belo",posted 7 march 2025,permanent
senior recruitment consultant (food nutrition),https://www.randstad.com.sg/jobs/senior-recruitment-consultant-food-nutrition_singapore_44935594/,"S$60,000 - S$80,000 per year","about the companyRandstad is a global talent leader with the vision to be the world’s most equitable and specialised talent company. As a partner for talent and through our four specialisations - Operational, Professional, Digital and Enterprise - we provide clients with the high-quality, diverse and agile work forces that they need to succeed in a talent scarce world. We help people secure meaningful roles, develop relevant skills and find purpose and bel",posted 7 march 2025,permanent
associate recruitment consultant,https://www.randstad.com.sg/jobs/associate-recruitment-consultant_singapore_44935502/,"S$50,000 - S$72,000 per year, Salary and commission","about the companyRandstad is a global talent leader with the vision to be the world’s most equitable and specialised talent company. As a partner for talent and through our four specialisations - Operational, Professional, Digital and Enterprise - we provide clients with the high-quality, diverse and agile workforces that they need to succeed in a talent scarce world. We help people secure meaningful roles, develop relevant skills and find purpose and belo",posted 7 march 2025,permanent
solution architect,https://www.randstad.com.sg/jobs/solution-architect_singapore_44935417/,,"about the company:Our client is a multinational investment bankabout the job:We are looking for an experienced Solution Architect to support technology solutions for Global Corporate & Investment Banking and Global Transaction Services. This role plays a key part in defining technology strategies and solutions that align with the business goals, while ensuring risks are managed and architectural standards are followed. As a Solution Architect, you will wor",posted 7 march 2025,contract
internal audit senior manager (fmcg),https://www.randstad.com.sg/jobs/internal-audit-senior-manager-fmcg_singapore_44935221/,"S$10,000 - S$12,000 per month","About the companyOur client, a leading multinational corporation in the FMCG sector, is looking for a Senior Internal Audit Manager to join their team. About the jobThe Audit Lead will be responsible for developing and executing a comprehensive, risk-based internal audit plan for audits across Singapore, Southeast Asia, and Group Assurance projects, with potential support for Technology audits. This role involves leading a team, overseeing the completion o",posted 7 march 2025,permanent
